amazon-order-id,buyer-name,sku,item-price,purchase-date,return-date
AMZ-6342,SerialAbuser_135,SKU-SHIRT-419,59.00,2026-02-15T12:00:00Z,2026-02-15T12:00:00Z
AMZ-5263,SerialAbuser_27,SKU-SHIRT-633,124.00,2026-01-20T12:00:00Z,
AMZ-6159,SerialAbuser_117,SKU-SHIRT-355,82.00,2025-12-16T12:00:00Z,2025-12-17T12:00:00Z
AMZ-6243,SerialAbuser_126,SKU-SHIRT-169,92.00,2026-01-23T12:00:00Z,2026-01-25T12:00:00Z
AMZ-5973,SerialAbuser_99,SKU-SHIRT-880,46.00,2026-01-16T12:00:00Z,2026-01-16T12:00:00Z
AMZ-5725,SerialAbuser_75,SKU-SHIRT-672,134.00,2026-01-24T12:00:00Z,2026-01-24T12:00:00Z
AMZ-6795,NormalShopper_52,SKU-BOOK-429,34.00,2025-12-24T12:00:00Z,
AMZ-5679,SerialAbuser_70,SKU-SHIRT-269,75.00,2026-01-17T12:00:00Z,2026-01-18T12:00:00Z
AMZ-5751,SerialAbuser_77,SKU-SHIRT-209,69.00,2026-01-05T12:00:00Z,2026-01-05T12:00:00Z
AMZ-6981,NormalShopper_97,SKU-BOOK-745,14.00,2025-12-19T12:00:00Z,
AMZ-6680,NormalShopper_25,SKU-BOOK-302,10.00,2026-02-07T12:00:00Z,
AMZ-7348,NormalShopper_187,SKU-BOOK-324,49.00,2025-12-11T12:00:00Z,
AMZ-6404,SerialAbuser_142,SKU-SHIRT-555,146.00,2026-01-05T12:00:00Z,2026-01-06T12:00:00Z
AMZ-7231,NormalShopper_155,SKU-BOOK-805,26.00,2026-01-13T12:00:00Z,
AMZ-5037,SerialAbuser_4,SKU-SHIRT-194,41.00,2026-01-22T12:00:00Z,2026-01-24T12:00:00Z
AMZ-7620,NormalShopper_252,SKU-BOOK-183,29.00,2026-01-10T12:00:00Z,
AMZ-6288,SerialAbuser_130,SKU-SHIRT-129,113.00,2026-02-22T12:00:00Z,2026-02-23T12:00:00Z
AMZ-5213,SerialAbuser_22,SKU-SHIRT-719,118.00,2026-01-21T12:00:00Z,2026-01-23T12:00:00Z
AMZ-7120,NormalShopper_130,SKU-BOOK-839,14.00,2025-12-10T12:00:00Z,
AMZ-6390,SerialAbuser_140,SKU-SHIRT-886,99.00,2026-01-17T12:00:00Z,2026-01-17T12:00:00Z
AMZ-6611,NormalShopper_6,SKU-BOOK-149,46.00,2025-12-31T12:00:00Z,
AMZ-6063,SerialAbuser_108,SKU-SHIRT-387,75.00,2025-12-15T12:00:00Z,2025-12-17T12:00:00Z
AMZ-7250,NormalShopper_161,SKU-BOOK-125,48.00,2026-01-17T12:00:00Z,
AMZ-6993,NormalShopper_100,SKU-BOOK-259,20.00,2026-02-12T12:00:00Z,
AMZ-6872,NormalShopper_70,SKU-BOOK-563,28.00,2025-12-31T12:00:00Z,
AMZ-6992,NormalShopper_99,SKU-BOOK-567,37.00,2025-12-18T12:00:00Z,
AMZ-6490,SerialAbuser_150,SKU-SHIRT-545,56.00,2026-01-25T12:00:00Z,2026-01-27T12:00:00Z
AMZ-7133,NormalShopper_132,SKU-BOOK-598,38.00,2025-12-08T12:00:00Z,
AMZ-6087,SerialAbuser_110,SKU-SHIRT-651,76.00,2025-12-10T12:00:00Z,2025-12-10T12:00:00Z
AMZ-7384,NormalShopper_194,SKU-BOOK-803,13.00,2026-02-09T12:00:00Z,
AMZ-6375,SerialAbuser_139,SKU-SHIRT-591,87.00,2025-12-23T12:00:00Z,2025-12-25T12:00:00Z
AMZ-5162,SerialAbuser_17,SKU-SHIRT-236,108.00,2025-12-31T12:00:00Z,2025-12-31T12:00:00Z
AMZ-7171,NormalShopper_141,SKU-BOOK-569,22.00,2026-02-02T12:00:00Z,
AMZ-6029,SerialAbuser_105,SKU-SHIRT-859,67.00,2026-02-22T12:00:00Z,2026-02-23T12:00:00Z
AMZ-5890,SerialAbuser_91,SKU-SHIRT-533,76.00,2026-01-09T12:00:00Z,2026-01-09T12:00:00Z
AMZ-6740,NormalShopper_38,SKU-BOOK-277,33.00,2025-12-24T12:00:00Z,
AMZ-5786,SerialAbuser_81,SKU-SHIRT-260,52.00,2025-12-31T12:00:00Z,2025-12-31T12:00:00Z
AMZ-5322,SerialAbuser_33,SKU-SHIRT-591,134.00,2026-01-12T12:00:00Z,2026-01-12T12:00:00Z
AMZ-6730,NormalShopper_36,SKU-BOOK-936,24.00,2026-01-29T12:00:00Z,
AMZ-6533,NewFraudster_39,SKU-MACBOOK-834,1664.00,2026-02-24T12:00:00Z,2026-02-25T12:00:00Z
AMZ-7350,NormalShopper_187,SKU-BOOK-668,10.00,2025-12-14T12:00:00Z,
AMZ-7332,NormalShopper_183,SKU-BOOK-168,22.00,2026-01-21T12:00:00Z,
AMZ-7224,NormalShopper_153,SKU-BOOK-989,34.00,2026-01-01T12:00:00Z,
AMZ-6509,NewFraudster_15,SKU-MACBOOK-954,2208.00,2026-02-24T12:00:00Z,2026-02-25T12:00:00Z
AMZ-7058,NormalShopper_115,SKU-BOOK-247,41.00,2026-01-01T12:00:00Z,
AMZ-7495,NormalShopper_220,SKU-BOOK-589,33.00,2025-12-26T12:00:00Z,2026-01-05T12:00:00Z
AMZ-7299,NormalShopper_174,SKU-BOOK-168,37.00,2026-01-11T12:00:00Z,
AMZ-5703,SerialAbuser_73,SKU-SHIRT-714,131.00,2026-01-22T12:00:00Z,2026-01-22T12:00:00Z
AMZ-7734,NormalShopper_280,SKU-BOOK-445,19.00,2025-12-26T12:00:00Z,
AMZ-6028,SerialAbuser_105,SKU-SHIRT-534,148.00,2026-02-15T12:00:00Z,2026-02-16T12:00:00Z
AMZ-5940,SerialAbuser_96,SKU-SHIRT-943,144.00,2026-01-10T12:00:00Z,2026-01-10T12:00:00Z
AMZ-7237,NormalShopper_156,SKU-BOOK-866,40.00,2026-01-09T12:00:00Z,
AMZ-6173,SerialAbuser_119,SKU-SHIRT-107,104.00,2026-02-10T12:00:00Z,2026-02-11T12:00:00Z
AMZ-5461,SerialAbuser_47,SKU-SHIRT-687,106.00,2025-12-22T12:00:00Z,2025-12-23T12:00:00Z
AMZ-5313,SerialAbuser_32,SKU-SHIRT-155,42.00,2026-02-13T12:00:00Z,2026-02-14T12:00:00Z
AMZ-6595,NormalShopper_1,SKU-BOOK-466,16.00,2025-12-07T12:00:00Z,
AMZ-5721,SerialAbuser_75,SKU-SHIRT-736,57.00,2026-01-25T12:00:00Z,2026-01-26T12:00:00Z
AMZ-6226,SerialAbuser_124,SKU-SHIRT-156,51.00,2026-01-15T12:00:00Z,2026-01-16T12:00:00Z
AMZ-6544,NewFraudster_50,SKU-MACBOOK-312,1707.00,2026-02-26T12:00:00Z,2026-02-27T12:00:00Z
AMZ-7593,NormalShopper_246,SKU-BOOK-641,42.00,2026-02-02T12:00:00Z,
AMZ-7767,NormalShopper_287,SKU-BOOK-296,15.00,2026-01-13T12:00:00Z,
AMZ-5810,SerialAbuser_83,SKU-SHIRT-356,45.00,2026-02-23T12:00:00Z,2026-02-24T12:00:00Z
AMZ-7275,NormalShopper_168,SKU-BOOK-603,25.00,2026-01-05T12:00:00Z,2026-01-13T12:00:00Z
AMZ-7700,NormalShopper_271,SKU-BOOK-638,13.00,2026-01-10T12:00:00Z,
AMZ-5246,SerialAbuser_25,SKU-SHIRT-345,122.00,2026-02-13T12:00:00Z,2026-02-13T12:00:00Z
AMZ-5245,SerialAbuser_25,SKU-SHIRT-492,88.00,2026-02-08T12:00:00Z,
AMZ-6817,NormalShopper_56,SKU-BOOK-347,45.00,2026-02-05T12:00:00Z,
AMZ-7316,NormalShopper_179,SKU-BOOK-780,24.00,2026-01-16T12:00:00Z,
AMZ-6278,SerialAbuser_129,SKU-SHIRT-389,40.00,2026-01-13T12:00:00Z,2026-01-13T12:00:00Z
AMZ-5135,SerialAbuser_14,SKU-SHIRT-537,139.00,2025-12-24T12:00:00Z,2025-12-25T12:00:00Z
AMZ-6962,NormalShopper_92,SKU-BOOK-145,27.00,2026-01-21T12:00:00Z,
AMZ-6527,NewFraudster_33,SKU-MACBOOK-999,2933.00,2026-02-26T12:00:00Z,2026-02-27T12:00:00Z
AMZ-7273,NormalShopper_167,SKU-BOOK-285,44.00,2026-01-19T12:00:00Z,
AMZ-7477,NormalShopper_215,SKU-BOOK-977,41.00,2025-12-09T12:00:00Z,
AMZ-5445,SerialAbuser_45,SKU-SHIRT-382,96.00,2025-12-13T12:00:00Z,2025-12-15T12:00:00Z
AMZ-5674,SerialAbuser_69,SKU-SHIRT-353,92.00,2026-02-12T12:00:00Z,2026-02-13T12:00:00Z
